predicate	count	label	description
http://schema.org/name	1125		
http://schema.org/address	1002		
http://schema.org/geo	997		
http://schema.org/latitude	997		
http://schema.org/longitude	997		
http://schema.org/addressLocality	933		
http://schema.org/streetAddress	933		
http://schema.org/addressCountry	927		
http://schema.org/postalCode	918		
http://schema.org/potentialAction	847		
http://schema.org/query-input	847		
http://schema.org/target	847		
http://schema.org/openingHours	372		
http://schema.org/closes	326		
http://schema.org/opens	326		
http://schema.org/dayOfWeek	310		
http://schema.org/OpeningHoursSpecification	285		
http://schema.org/description	202		
<http://schema.org/description>	110		
http://schema.org/openingHoursSpecification	40		
http://schema.org/keywords	36		
http://schema.org/validThrough	33		
http://schema.org/validFrom	32		
http://schema.org/addressRegion	24		
https://schema.org/openingHours	24		
http://schema.org/availableLanguage	16		
http://schema.org/value	12		
https://schema.org/address	12		
https://schema.org/alternateName	12		
https://schema.org/description	12		
https://schema.org/streetAddress	12		
http://schema.org/aggregateRating	11		
http://schema.org/ratingCount	11		
http://schema.org/ratingValue	11		
https://schema.org/addressLocality	11		
https://schema.org/geo	11		
https://schema.org/latitude	11		
https://schema.org/longitude	11		
https://schema.org/name	11		
https://schema.org/postalCode	11		
https://schema.org/addressCountry	10		
https://schema.org/hasMap	10		
http://schema.org/amenityFeature	8		
http://schema.org/audienceType	8		
http://schema.org/publicAccess	7		
https://schema.org/faxNumber	6		
http://schema.org/email	5		
http://schema.org/alternateName	4		
http://schema.org/containsPlace	4		
http://schema.org/faxNumber	4		
http://schema.org/isAccessibleForFree	4		
http://schema.org/touristType	4		
https://schema.org/addressRegion	4		
http://schema.org/containedInPlace	3		
http://schema.org/height	2		
http://schema.org/image	2		
http://schema.org/logo	2		
http://schema.org/priceRange	2		
http://schema.org/url	2		
http://schema.org/width	2		
http://schema.org/Country	1		
http://schema.org/byDay	1		
http://schema.org/photo	1		
http://schema.org/publisher	1		
http://schema.org/repeatFrequency	1		
http://schema.org/specialOpeningHoursSpecification	1		
https://schema.org/Name	1		
